Q1回答,Q2回答,Q3回答,組織,性別,Q1回答_tokens,Q2回答_tokens,Q3回答_tokens,Q1回答_tokens_sentiment,Q2回答_tokens_sentiment,Q3回答_tokens_sentiment
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,職場のコミュニケーションが課題だと感じます。,企業B,女性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['仕事', '育児', '両立']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,企業A,女性,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['育児', '仕事', '続ける']","['部下', '育成', 'やりがい']",ポジティブ,中立,ポジティブ
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,リモートでも評価制度が明確なのが良い。,団体C,男性,"['チーム', '一体', '瞬間', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,企業A,非回答,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['通勤', '時間', '短い', '嬉しい']","['部下', '育成', 'やりがい']",ポジティブ,ポジティブ,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,通勤時間が短くなって嬉しいです。,プロジェクトの進捗が見える化されたのが良いです。,企業A,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['通勤', '時間', '短い', '嬉しい']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,ポジティブ,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,団体C,非回答,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['通勤', '時間', '短い', '嬉しい']","['部下', '育成', 'やりがい']",ポジティブ,ポジティブ,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,プロジェクトの進捗が見える化されたのが良いです。,企業B,非回答,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['仕事', '育児', '両立']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業D,女性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['育児', '仕事', '続ける']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業B,女性,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['育児', '仕事', '続ける']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,プロジェクトの進捗が見える化されたのが良いです。,NPO法人E,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
